;month;hist_value
0;2012-01-01;10804699,842000006
1;2012-02-01;10085552,230999986
2;2012-03-01;10175365,004999992
3;2012-04-01;8969068,409000013
4;2012-05-01;9597272,016
5;2012-06-01;10292182,399000002
6;2012-07-01;11066530,78600002
7;2012-08-01;10404120,82499999
8;2012-09-01;9336891,495999997
9;2012-10-01;9608256,140000008
10;2012-11-01;10027740,717000008
11;2012-12-01;10820739,304999998
12;2013-01-01;11134119,344999988
13;2013-02-01;9834160,006999994
14;2013-03-01;9756129,307999985
15;2013-04-01;9307334,163000006
16;2013-05-01;10232825,394000007
17;2013-06-01;10360537,193999983
18;2013-07-01;11156173,393000003
19;2013-08-01;10904479,242999995
20;2013-09-01;10195872,994999986
21;2013-10-01;10045715,631999992
22;2013-11-01;10015701,651999993
23;2013-12-01;12291286,49300001
24;2014-01-01;12004342,368000017
25;2014-02-01;9823968,201000016
26;2014-03-01;9789798,78899998
27;2014-04-01;9595374,349999994
28;2014-05-01;10409105,005999995
29;2014-06-01;10901714,975999994
30;2014-07-01;11363942,101999994
31;2014-08-01;10490682,389000002
32;2014-09-01;9807544,19099999
33;2014-10-01;10706493,141000014
34;2014-11-01;10344736,671999998
35;2014-12-01;11229377,819999991
36;2015-01-01;11706190,092999982
37;2015-02-01;10665086,620999986
38;2015-03-01;11548527,071999997
39;2015-04-01;10026434,760000007
40;2015-05-01;10467633,692999993
41;2015-06-01;11254419,667000003
42;2015-07-01;11907361,919000003
43;2015-08-01;11130262,80800001
44;2015-09-01;10552903,240999997
45;2015-10-01;10722174,38899999
46;2015-11-01;10219189,481999988
47;2015-12-01;11909435,561000004
48;2016-01-01;12344911,76199998
49;2016-02-01;11731845,100999998
50;2016-03-01;10461475,91999998
51;2016-04-01;10292000,855999984
52;2016-05-01;11358011,628
53;2016-06-01;11812947,049999993
54;2016-07-01;11929645,375000006
55;2016-08-01;10855441,951999988
56;2016-09-01;10382081,134000003
57;2016-10-01;9956038,874999989
58;2016-11-01;10132540,583999995
59;2016-12-01;11853854,387999997
60;2017-01-01;12524865,645999992
61;2017-02-01;11074906,499000011
62;2017-03-01;11122231,555000009
63;2017-04-01;9793758,584999986
64;2017-05-01;10795213,415
65;2017-06-01;11359330,661999986
66;2017-07-01;11796425,757000014
67;2017-08-01;11107250,705
68;2017-09-01;10348584,547999978
69;2017-10-01;10227329,312999984
70;2017-11-01;10355727,485999987
71;2017-12-01;12024595,461
72;2018-01-01;12350183,319999987
73;2018-02-01;11404202,881999988
74;2018-03-01;11247242,133000003
75;2018-04-01;10493314,585000003
76;2018-05-01;10665461,506999997
77;2018-06-01;11925912,46699999
78;2018-07-01;12607552,722000012
79;2018-08-01;11721305,132000018
80;2018-09-01;9792369,094999978
81;2018-10-01;9904218,669000003
82;2018-11-01;10035149,376
83;2018-12-01;10863012,544999983
84;2019-01-01;11698820,42600002
85;2019-02-01;10706955,347000007
86;2019-03-01;10120057,956000008
87;2019-04-01;9572130,665999997
88;2019-05-01;10382062,18199999
89;2019-06-01;10649854,565999987
90;2019-07-01;12004210,210000012
91;2019-08-01;11465483,324000003
92;2019-09-01;10218087,846999986
93;2019-10-01;10380686,896999992
94;2019-11-01;10559966,178000005
95;2019-12-01;11187742,698999992
96;2020-01-01;11993867,070000015
97;2020-02-01;10843474,456999999
98;2020-03-01;11144232,223000003
99;2020-04-01;8537200,428999996
100;2020-05-01;9617328,194999997
101;2020-06-01;10781714,903000008
102;2020-07-01;12183852,655000005
103;2020-08-01;10728379,179000003
104;2020-09-01;10045022,877000002
105;2020-10-01;10013844,044999976
106;2020-11-01;10087844,476999998
107;2020-12-01;11330177,626
108;2021-01-01;11941581,005000008
109;2021-02-01;10090389,32899999
110;2021-03-01;11055214,534000006
111;2021-04-01;9817737,90699999
112;2021-05-01;10986114,088999983
113;2021-06-01;12053804,25499999
114;2021-07-01;12418960,394999998
115;2021-08-01;11660287,802000003
116;2021-09-01;10374794,07999999
117;2021-10-01;10451324,192999989
118;2021-11-01;10569433,751000008
119;2021-12-01;12457126,722999996
120;2022-01-01;13065875,776000006
121;2022-02-01;10566724,26900002
122;2022-03-01;10880355,218999986
123;2022-04-01;10146368,087999996
124;2022-05-01;11726718,042000005
125;2022-06-01;13073296,239000006
126;2022-07-01;12638511,327000016
127;2022-08-01;11781433,417
128;2022-09-01;10310019,917999992
129;2022-10-01;10217095,549000006
130;2022-11-01;11319395,137999991
